id,source,theme,anonymized_observation,evidence_strength,design_implication,report_use
B01,Messenger,FRIKTION,"Lock screen/Live Activity blev bekraeftet som fungerende i praktisk brug.",medium,"Prioriter hurtig status under traening uden fuld appaabning.","Interaktionsdesign og evaluering"
B02,Messenger,MEDIEKVALITET,"Dialogen pegede paa oenske om rigtige oevelsesvideoer frem for generiske eller AI-genererede klip.",medium,"Oevelsesmedier skal vaere trovaerdige og kropsligt genkendelige.","Designrationale for media-pipeline"
B03,Messenger,KATALOG,"Et staerkt katalog kraever adgang til udstyr og personer, der kan udfoere svaere oevelser korrekt.",medium,"Kataloget er baade data-, indholds- og governanceproblem.","Scope og videre arbejde"
B04,Messenger,BETA_PROCESS,"Tester tilbød praktisk hjaelp til oevelsesvideoer og udstyr.",low-medium,"Beta-test kan fungere som co-design og indholdsvalidering.","Metodeafsnit"
B04A,Gmail/Messenger,CENTER_OUTREACH,"Outreach- og korrespondancespor om at filme oevelsesvideoer i lokale traeningscentre.",medium,"Ekstern centeradgang er en projekt- og privacy-afhaengighed.","Projektledelse, etik og designrationale"
B05,TestFlight,BETA_PROCESS,"Build 4-12 blev distribueret i perioden 2026-03-31 til 2026-04-25.",high-distribution-low-effect,"Dokumenterer iterationstempo, ikke brugerudbytte alene.","Projektledelse og verifikation"
B06,Facebook,REKRUTTERING,"Facebook fitnessgrupper blev brugt eller undersoegt som kanal til bredere beta-rekruttering.",low-public,"Kanal kræver manuel redaktion foer public bilag.","Rekrutteringsmetode og bias"
B07,Spoergeramme,SAMTYKKE,"Spoergerammen daekkede brug, vaerdi, friktion, betalingsvillighed, prioriteringer og anonymiseret brug af svar.",medium,"Giver struktur til semistruktureret evaluering.","Metode og etik"
B08,Triangulering,ADHERENCE,"Feedback om lav friktion boer sammenholdes med tracker-off completion, watch og Live Activity.",indirect,"Accepter ufuldstaendig logging som gyldig traening.","Diskussion af hovedproblem"
B09,Messenger,ONBOARDING,"Oktober 2025-prototypen kraevede manuelle browser- og hjemmeskaermstrin.",medium,"Beta-onboarding skal forklare installation og foerste load.","Metode og brugerbarrierer"
B10,Messenger,REKRUTTERING,"Marts 2026-genaktivering kraevede iPhone og udelukkede mindst en interesseret deltager.",medium,"Betaen boer beskrives som iOS-biased convenience sample.","Metodekritik"
B11,Messenger,INSTALL_FRIKTION,"TestFlight-link, Apple review-status og manuel opdatering skabte midlertidig forvirring 2026-03-30.",medium-high,"Vis build/version og fallback-instruktion tydeligt.","TestFlight onboarding"
B12,Messenger,KATALOG,"P01 pegede paa risiko for dubletter og lav datakvalitet ved fri oevelsesoprettelse.",high-qualitative,"Adskil private oevelser fra offentligt katalog med review-flow.","Admin-governance"
B13,Messenger,SOEGNING,"P02 kunne ikke finde almindelige oevelser eller varianter i betaen.",high-qualitative,"Understoet synonymer, varianter og oevelsesfamilier.","UX-evaluering"
B14,Messenger,FEJL,"Soegefunktionen virkede forskelligt i oevelsesmenu og programdag-flow.",high-qualitative,"Genbrug samme soegelogik paa tvaers af flows.","Regressionstest"
B15,Messenger,ENHEDER,"P02 oenskede kg/lbs fordi enkelte maskiner bruger lbs.",high-qualitative,"Tilbyd global enhed, per-oevelse override og logkonvertering.","Situated feedback"
B16,Messenger,WATCH,"Apple Watch blev positioneret som telefonfri traeningsflade med tidligt stabilitetsforbehold.",medium,"Prioriter oversigt, hurtig logging og robust session-sync.","Multiplatform design"
B17,Messenger,ITERATION,"Releasebeskeder koblede feedback til supersaet, flere oevelser, drag-and-drop, social login og mindre visuel stoej.",medium-high,"Trianguler Messenger med TestFlight-tidslinje som feedback-release-spor.","Projektledelse"
